customer_id,signup_date,region,acquisition_channel,subscription_id,plan_type,monthly_price,sub_start_date,sub_end_date,subscription_status,transaction_id,transaction_date,amount,payment_method
101,2024-04-12,Asia-Pacific,Organic Search,5001,Premium,75.0,2024-04-12,2024-06-02,Cancelled,1,2024-04-12,75.0,Credit Card
101,2024-04-12,Asia-Pacific,Organic Search,5001,Premium,75.0,2024-04-12,2024-06-02,Cancelled,2,2024-05-12,75.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,3,2024-03-12,35.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,4,2024-04-11,35.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,5,2024-05-11,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,6,2024-06-10,35.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,7,2024-07-10,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,8,2024-08-09,35.0,Bank Transfer
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,9,2024-09-08,35.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,10,2024-10-08,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,11,2024-11-07,35.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,12,2024-12-07,35.0,Bank Transfer
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,13,2025-01-06,35.0,Bank Transfer
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,14,2025-02-05,35.0,Bank Transfer
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,15,2025-03-07,35.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,16,2025-04-06,35.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,17,2025-05-06,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,18,2025-06-05,35.0,Bank Transfer
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,19,2025-07-05,35.0,PayPal
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,20,2025-08-04,35.0,Bank Transfer
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,21,2025-09-03,35.0,Bank Transfer
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,22,2025-10-03,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,23,2025-11-02,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,24,2025-12-02,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,25,2026-01-01,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,26,2026-01-31,35.0,Bank Transfer
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,27,2026-03-02,35.0,Credit Card
102,2024-03-12,Europe,Organic Search,5002,Standard,35.0,2024-03-12,,Active,28,2026-04-01,35.0,Credit Card
